datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,SERC,SOUTH,DOM,DOM,10022.000,True
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,SERC,SOUTH,DOM,DOM,9715.000,True
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,SERC,SOUTH,DOM,DOM,9461.000,True
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,SERC,SOUTH,DOM,DOM,9378.000,True
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,SERC,SOUTH,DOM,DOM,9493.000,True
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,SERC,SOUTH,DOM,DOM,9677.000,True
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,SERC,SOUTH,DOM,DOM,9957.000,True
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,SERC,SOUTH,DOM,DOM,10136.000,True
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,SERC,SOUTH,DOM,DOM,10434.000,True
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,SERC,SOUTH,DOM,DOM,10864.000,True
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,SERC,SOUTH,DOM,DOM,11173.000,True
1/1/2013 4:00:00 PM,1/1/2013 11:00:00 AM,SERC,SOUTH,DOM,DOM,11296.000,True
1/1/2013 5:00:00 PM,1/1/2013 12:00:00 PM,SERC,SOUTH,DOM,DOM,11208.000,True
1/1/2013 6:00:00 PM,1/1/2013 1:00:00 PM,SERC,SOUTH,DOM,DOM,11161.000,True
1/1/2013 7:00:00 PM,1/1/2013 2:00:00 PM,SERC,SOUTH,DOM,DOM,11011.000,True
1/1/2013 8:00:00 PM,1/1/2013 3:00:00 PM,SERC,SOUTH,DOM,DOM,10938.000,True
1/1/2013 9:00:00 PM,1/1/2013 4:00:00 PM,SERC,SOUTH,DOM,DOM,11347.000,True
1/1/2013 10:00:00 PM,1/1/2013 5:00:00 PM,SERC,SOUTH,DOM,DOM,12132.000,True
1/1/2013 11:00:00 PM,1/1/2013 6:00:00 PM,SERC,SOUTH,DOM,DOM,12111.000,True
1/2/2013 12:00:00 AM,1/1/2013 7:00:00 PM,SERC,SOUTH,DOM,DOM,12014.000,True
1/2/2013 1:00:00 AM,1/1/2013 8:00:00 PM,SERC,SOUTH,DOM,DOM,11692.000,True
1/2/2013 2:00:00 AM,1/1/2013 9:00:00 PM,SERC,SOUTH,DOM,DOM,11185.000,True
1/2/2013 3:00:00 AM,1/1/2013 10:00:00 PM,SERC,SOUTH,DOM,DOM,10452.000,True
1/2/2013 4:00:00 AM,1/1/2013 11:00:00 PM,SERC,SOUTH,DOM,DOM,9820.000,True
1/2/2013 5:00:00 AM,1/2/2013 12:00:00 AM,SERC,SOUTH,DOM,DOM,9373.000,True
1/2/2013 6:00:00 AM,1/2/2013 1:00:00 AM,SERC,SOUTH,DOM,DOM,9257.000,True
1/2/2013 7:00:00 AM,1/2/2013 2:00:00 AM,SERC,SOUTH,DOM,DOM,9246.000,True
1/2/2013 8:00:00 AM,1/2/2013 3:00:00 AM,SERC,SOUTH,DOM,DOM,9390.000,True
1/2/2013 9:00:00 AM,1/2/2013 4:00:00 AM,SERC,SOUTH,DOM,DOM,9873.000,True
1/2/2013 10:00:00 AM,1/2/2013 5:00:00 AM,SERC,SOUTH,DOM,DOM,10742.000,True
1/2/2013 11:00:00 AM,1/2/2013 6:00:00 AM,SERC,SOUTH,DOM,DOM,12027.000,True
1/2/2013 12:00:00 PM,1/2/2013 7:00:00 AM,SERC,SOUTH,DOM,DOM,12559.000,True
1/2/2013 1:00:00 PM,1/2/2013 8:00:00 AM,SERC,SOUTH,DOM,DOM,12578.000,True
1/2/2013 2:00:00 PM,1/2/2013 9:00:00 AM,SERC,SOUTH,DOM,DOM,12426.000,True
1/2/2013 3:00:00 PM,1/2/2013 10:00:00 AM,SERC,SOUTH,DOM,DOM,12268.000,True
1/2/2013 4:00:00 PM,1/2/2013 11:00:00 AM,SERC,SOUTH,DOM,DOM,12254.000,True
1/2/2013 5:00:00 PM,1/2/2013 12:00:00 PM,SERC,SOUTH,DOM,DOM,12063.000,True
