datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2010 5:00:00 AM,1/1/2010 12:00:00 AM,SERC,SOUTH,DOM,DOM,10273.000,True
1/1/2010 6:00:00 AM,1/1/2010 1:00:00 AM,SERC,SOUTH,DOM,DOM,9960.000,True
1/1/2010 7:00:00 AM,1/1/2010 2:00:00 AM,SERC,SOUTH,DOM,DOM,9797.000,True
1/1/2010 8:00:00 AM,1/1/2010 3:00:00 AM,SERC,SOUTH,DOM,DOM,9715.000,True
1/1/2010 9:00:00 AM,1/1/2010 4:00:00 AM,SERC,SOUTH,DOM,DOM,9851.000,True
1/1/2010 10:00:00 AM,1/1/2010 5:00:00 AM,SERC,SOUTH,DOM,DOM,10178.000,True
1/1/2010 11:00:00 AM,1/1/2010 6:00:00 AM,SERC,SOUTH,DOM,DOM,10497.000,True
1/1/2010 12:00:00 PM,1/1/2010 7:00:00 AM,SERC,SOUTH,DOM,DOM,10749.000,True
1/1/2010 1:00:00 PM,1/1/2010 8:00:00 AM,SERC,SOUTH,DOM,DOM,11000.000,True
1/1/2010 2:00:00 PM,1/1/2010 9:00:00 AM,SERC,SOUTH,DOM,DOM,11410.000,True
1/1/2010 3:00:00 PM,1/1/2010 10:00:00 AM,SERC,SOUTH,DOM,DOM,11610.000,True
1/1/2010 4:00:00 PM,1/1/2010 11:00:00 AM,SERC,SOUTH,DOM,DOM,11470.000,True
1/1/2010 5:00:00 PM,1/1/2010 12:00:00 PM,SERC,SOUTH,DOM,DOM,11441.000,True
1/1/2010 6:00:00 PM,1/1/2010 1:00:00 PM,SERC,SOUTH,DOM,DOM,11301.000,True
1/1/2010 7:00:00 PM,1/1/2010 2:00:00 PM,SERC,SOUTH,DOM,DOM,11145.000,True
1/1/2010 8:00:00 PM,1/1/2010 3:00:00 PM,SERC,SOUTH,DOM,DOM,11150.000,True
1/1/2010 9:00:00 PM,1/1/2010 4:00:00 PM,SERC,SOUTH,DOM,DOM,11532.000,True
1/1/2010 10:00:00 PM,1/1/2010 5:00:00 PM,SERC,SOUTH,DOM,DOM,12517.000,True
1/1/2010 11:00:00 PM,1/1/2010 6:00:00 PM,SERC,SOUTH,DOM,DOM,12604.000,True
1/2/2010 12:00:00 AM,1/1/2010 7:00:00 PM,SERC,SOUTH,DOM,DOM,12599.000,True
1/2/2010 1:00:00 AM,1/1/2010 8:00:00 PM,SERC,SOUTH,DOM,DOM,12574.000,True
1/2/2010 2:00:00 AM,1/1/2010 9:00:00 PM,SERC,SOUTH,DOM,DOM,12437.000,True
1/2/2010 3:00:00 AM,1/1/2010 10:00:00 PM,SERC,SOUTH,DOM,DOM,12158.000,True
1/2/2010 4:00:00 AM,1/1/2010 11:00:00 PM,SERC,SOUTH,DOM,DOM,11807.000,True
1/2/2010 5:00:00 AM,1/2/2010 12:00:00 AM,SERC,SOUTH,DOM,DOM,11522.000,True
1/2/2010 6:00:00 AM,1/2/2010 1:00:00 AM,SERC,SOUTH,DOM,DOM,11416.000,True
1/2/2010 7:00:00 AM,1/2/2010 2:00:00 AM,SERC,SOUTH,DOM,DOM,11446.000,True
1/2/2010 8:00:00 AM,1/2/2010 3:00:00 AM,SERC,SOUTH,DOM,DOM,11624.000,True
1/2/2010 9:00:00 AM,1/2/2010 4:00:00 AM,SERC,SOUTH,DOM,DOM,11852.000,True
1/2/2010 10:00:00 AM,1/2/2010 5:00:00 AM,SERC,SOUTH,DOM,DOM,12292.000,True
1/2/2010 11:00:00 AM,1/2/2010 6:00:00 AM,SERC,SOUTH,DOM,DOM,12835.000,True
1/2/2010 12:00:00 PM,1/2/2010 7:00:00 AM,SERC,SOUTH,DOM,DOM,13354.000,True
1/2/2010 1:00:00 PM,1/2/2010 8:00:00 AM,SERC,SOUTH,DOM,DOM,13881.000,True
1/2/2010 2:00:00 PM,1/2/2010 9:00:00 AM,SERC,SOUTH,DOM,DOM,14140.000,True
1/2/2010 3:00:00 PM,1/2/2010 10:00:00 AM,SERC,SOUTH,DOM,DOM,14263.000,True
1/2/2010 4:00:00 PM,1/2/2010 11:00:00 AM,SERC,SOUTH,DOM,DOM,14099.000,True
1/2/2010 5:00:00 PM,1/2/2010 12:00:00 PM,SERC,SOUTH,DOM,DOM,13799.000,True
1/2/2010 6:00:00 PM,1/2/2010 1:00:00 PM,SERC,SOUTH,DOM,DOM,13571.000,True
1/2/2010 7:00:00 PM,1/2/2010 2:00:00 PM,SERC,SOUTH,DOM,DOM,13446.000,True
1/2/2010 8:00:00 PM,1/2/2010 3:00:00 PM,SERC,SOUTH,DOM,DOM,13455.000,True
1/2/2010 9:00:00 PM,1/2/2010 4:00:00 PM,SERC,SOUTH,DOM,DOM,14073.000,True
1/2/2010 10:00:00 PM,1/2/2010 5:00:00 PM,SERC,SOUTH,DOM,DOM,15464.000,True
1/2/2010 11:00:00 PM,1/2/2010 6:00:00 PM,SERC,SOUTH,DOM,DOM,15813.000,True
1/3/2010 12:00:00 AM,1/2/2010 7:00:00 PM,SERC,SOUTH,DOM,DOM,15812.000,True
1/3/2010 1:00:00 AM,1/2/2010 8:00:00 PM,SERC,SOUTH,DOM,DOM,15787.000,True
1/3/2010 2:00:00 AM,1/2/2010 9:00:00 PM,SERC,SOUTH,DOM,DOM,15534.000,True
1/3/2010 3:00:00 AM,1/2/2010 10:00:00 PM,SERC,SOUTH,DOM,DOM,15059.000,True
1/3/2010 4:00:00 AM,1/2/2010 11:00:00 PM,SERC,SOUTH,DOM,DOM,14575.000,True
1/3/2010 5:00:00 AM,1/3/2010 12:00:00 AM,SERC,SOUTH,DOM,DOM,14298.000,True
1/3/2010 6:00:00 AM,1/3/2010 1:00:00 AM,SERC,SOUTH,DOM,DOM,14187.000,True
1/3/2010 7:00:00 AM,1/3/2010 2:00:00 AM,SERC,SOUTH,DOM,DOM,14209.000,True
1/3/2010 8:00:00 AM,1/3/2010 3:00:00 AM,SERC,SOUTH,DOM,DOM,14297.000,True
1/3/2010 9:00:00 AM,1/3/2010 4:00:00 AM,SERC,SOUTH,DOM,DOM,14514.000,True
1/3/2010 10:00:00 AM,1/3/2010 5:00:00 AM,SERC,SOUTH,DOM,DOM,14885.000,True
1/3/2010 11:00:00 AM,1/3/2010 6:00:00 AM,SERC,SOUTH,DOM,DOM,15386.000,True
1/3/2010 12:00:00 PM,1/3/2010 7:00:00 AM,SERC,SOUTH,DOM,DOM,15853.000,True
1/3/2010 1:00:00 PM,1/3/2010 8:00:00 AM,SERC,SOUTH,DOM,DOM,16006.000,True
1/3/2010 2:00:00 PM,1/3/2010 9:00:00 AM,SERC,SOUTH,DOM,DOM,15835.000,True
1/3/2010 3:00:00 PM,1/3/2010 10:00:00 AM,SERC,SOUTH,DOM,DOM,15378.000,True
1/3/2010 4:00:00 PM,1/3/2010 11:00:00 AM,SERC,SOUTH,DOM,DOM,14878.000,True
1/3/2010 5:00:00 PM,1/3/2010 12:00:00 PM,SERC,SOUTH,DOM,DOM,14479.000,True
1/3/2010 6:00:00 PM,1/3/2010 1:00:00 PM,SERC,SOUTH,DOM,DOM,14061.000,True
1/3/2010 7:00:00 PM,1/3/2010 2:00:00 PM,SERC,SOUTH,DOM,DOM,13835.000,True
1/3/2010 8:00:00 PM,1/3/2010 3:00:00 PM,SERC,SOUTH,DOM,DOM,13798.000,True
1/3/2010 9:00:00 PM,1/3/2010 4:00:00 PM,SERC,SOUTH,DOM,DOM,14405.000,True
1/3/2010 10:00:00 PM,1/3/2010 5:00:00 PM,SERC,SOUTH,DOM,DOM,15656.000,True
1/3/2010 11:00:00 PM,1/3/2010 6:00:00 PM,SERC,SOUTH,DOM,DOM,15967.000,True
1/4/2010 12:00:00 AM,1/3/2010 7:00:00 PM,SERC,SOUTH,DOM,DOM,15972.000,True
1/4/2010 1:00:00 AM,1/3/2010 8:00:00 PM,SERC,SOUTH,DOM,DOM,15804.000,True
1/4/2010 2:00:00 AM,1/3/2010 9:00:00 PM,SERC,SOUTH,DOM,DOM,15304.000,True
1/4/2010 3:00:00 AM,1/3/2010 10:00:00 PM,SERC,SOUTH,DOM,DOM,14634.000,True
1/4/2010 4:00:00 AM,1/3/2010 11:00:00 PM,SERC,SOUTH,DOM,DOM,13978.000,True
1/4/2010 5:00:00 AM,1/4/2010 12:00:00 AM,SERC,SOUTH,DOM,DOM,13581.000,True
1/4/2010 6:00:00 AM,1/4/2010 1:00:00 AM,SERC,SOUTH,DOM,DOM,13435.000,True
1/4/2010 7:00:00 AM,1/4/2010 2:00:00 AM,SERC,SOUTH,DOM,DOM,13479.000,True
1/4/2010 8:00:00 AM,1/4/2010 3:00:00 AM,SERC,SOUTH,DOM,DOM,13614.000,True
1/4/2010 9:00:00 AM,1/4/2010 4:00:00 AM,SERC,SOUTH,DOM,DOM,14004.000,True
1/4/2010 10:00:00 AM,1/4/2010 5:00:00 AM,SERC,SOUTH,DOM,DOM,14873.000,True
1/4/2010 11:00:00 AM,1/4/2010 6:00:00 AM,SERC,SOUTH,DOM,DOM,16094.000,True
1/4/2010 12:00:00 PM,1/4/2010 7:00:00 AM,SERC,SOUTH,DOM,DOM,16423.000,True
1/4/2010 1:00:00 PM,1/4/2010 8:00:00 AM,SERC,SOUTH,DOM,DOM,15987.000,True
1/4/2010 2:00:00 PM,1/4/2010 9:00:00 AM,SERC,SOUTH,DOM,DOM,15381.000,True
1/4/2010 3:00:00 PM,1/4/2010 10:00:00 AM,SERC,SOUTH,DOM,DOM,14920.000,True
1/4/2010 4:00:00 PM,1/4/2010 11:00:00 AM,SERC,SOUTH,DOM,DOM,14560.000,True
1/4/2010 5:00:00 PM,1/4/2010 12:00:00 PM,SERC,SOUTH,DOM,DOM,14119.000,True
1/4/2010 6:00:00 PM,1/4/2010 1:00:00 PM,SERC,SOUTH,DOM,DOM,13741.000,True
1/4/2010 7:00:00 PM,1/4/2010 2:00:00 PM,SERC,SOUTH,DOM,DOM,13448.000,True
1/4/2010 8:00:00 PM,1/4/2010 3:00:00 PM,SERC,SOUTH,DOM,DOM,13458.000,True
1/4/2010 9:00:00 PM,1/4/2010 4:00:00 PM,SERC,SOUTH,DOM,DOM,13993.000,True
1/4/2010 10:00:00 PM,1/4/2010 5:00:00 PM,SERC,SOUTH,DOM,DOM,15111.000,True
1/4/2010 11:00:00 PM,1/4/2010 6:00:00 PM,SERC,SOUTH,DOM,DOM,15495.000,True
1/5/2010 12:00:00 AM,1/4/2010 7:00:00 PM,SERC,SOUTH,DOM,DOM,15440.000,True
1/5/2010 1:00:00 AM,1/4/2010 8:00:00 PM,SERC,SOUTH,DOM,DOM,15260.000,True
1/5/2010 2:00:00 AM,1/4/2010 9:00:00 PM,SERC,SOUTH,DOM,DOM,14739.000,True
1/5/2010 3:00:00 AM,1/4/2010 10:00:00 PM,SERC,SOUTH,DOM,DOM,13973.000,True
1/5/2010 4:00:00 AM,1/4/2010 11:00:00 PM,SERC,SOUTH,DOM,DOM,13273.000,True
1/5/2010 5:00:00 AM,1/5/2010 12:00:00 AM,SERC,SOUTH,DOM,DOM,12866.000,True
1/5/2010 6:00:00 AM,1/5/2010 1:00:00 AM,SERC,SOUTH,DOM,DOM,12708.000,True
1/5/2010 7:00:00 AM,1/5/2010 2:00:00 AM,SERC,SOUTH,DOM,DOM,12781.000,True
1/5/2010 8:00:00 AM,1/5/2010 3:00:00 AM,SERC,SOUTH,DOM,DOM,12934.000,True
1/5/2010 9:00:00 AM,1/5/2010 4:00:00 AM,SERC,SOUTH,DOM,DOM,13344.000,True
1/5/2010 10:00:00 AM,1/5/2010 5:00:00 AM,SERC,SOUTH,DOM,DOM,14208.000,True
1/5/2010 11:00:00 AM,1/5/2010 6:00:00 AM,SERC,SOUTH,DOM,DOM,15473.000,True
1/5/2010 12:00:00 PM,1/5/2010 7:00:00 AM,SERC,SOUTH,DOM,DOM,15954.000,True
1/5/2010 1:00:00 PM,1/5/2010 8:00:00 AM,SERC,SOUTH,DOM,DOM,15474.000,True
1/5/2010 2:00:00 PM,1/5/2010 9:00:00 AM,SERC,SOUTH,DOM,DOM,14838.000,True
1/5/2010 3:00:00 PM,1/5/2010 10:00:00 AM,SERC,SOUTH,DOM,DOM,14305.000,True
1/5/2010 4:00:00 PM,1/5/2010 11:00:00 AM,SERC,SOUTH,DOM,DOM,13909.000,True
1/5/2010 5:00:00 PM,1/5/2010 12:00:00 PM,SERC,SOUTH,DOM,DOM,13526.000,True
1/5/2010 6:00:00 PM,1/5/2010 1:00:00 PM,SERC,SOUTH,DOM,DOM,13260.000,True
1/5/2010 7:00:00 PM,1/5/2010 2:00:00 PM,SERC,SOUTH,DOM,DOM,13100.000,True
1/5/2010 8:00:00 PM,1/5/2010 3:00:00 PM,SERC,SOUTH,DOM,DOM,13185.000,True
1/5/2010 9:00:00 PM,1/5/2010 4:00:00 PM,SERC,SOUTH,DOM,DOM,13694.000,True
1/5/2010 10:00:00 PM,1/5/2010 5:00:00 PM,SERC,SOUTH,DOM,DOM,15035.000,True
1/5/2010 11:00:00 PM,1/5/2010 6:00:00 PM,SERC,SOUTH,DOM,DOM,15456.000,True
1/6/2010 12:00:00 AM,1/5/2010 7:00:00 PM,SERC,SOUTH,DOM,DOM,15461.000,True
1/6/2010 1:00:00 AM,1/5/2010 8:00:00 PM,SERC,SOUTH,DOM,DOM,15284.000,True
1/6/2010 2:00:00 AM,1/5/2010 9:00:00 PM,SERC,SOUTH,DOM,DOM,14673.000,True
1/6/2010 3:00:00 AM,1/5/2010 10:00:00 PM,SERC,SOUTH,DOM,DOM,13873.000,True
1/6/2010 4:00:00 AM,1/5/2010 11:00:00 PM,SERC,SOUTH,DOM,DOM,13073.000,True
1/6/2010 5:00:00 AM,1/6/2010 12:00:00 AM,SERC,SOUTH,DOM,DOM,12622.000,True
1/6/2010 6:00:00 AM,1/6/2010 1:00:00 AM,SERC,SOUTH,DOM,DOM,12462.000,True
1/6/2010 7:00:00 AM,1/6/2010 2:00:00 AM,SERC,SOUTH,DOM,DOM,12378.000,True
1/6/2010 8:00:00 AM,1/6/2010 3:00:00 AM,SERC,SOUTH,DOM,DOM,12580.000,True
