datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2011 5:00:00 AM,1/1/2011 12:00:00 AM,SERC,SOUTH,DOM,DOM,10137.000,True
1/1/2011 6:00:00 AM,1/1/2011 1:00:00 AM,SERC,SOUTH,DOM,DOM,9918.000,True
1/1/2011 7:00:00 AM,1/1/2011 2:00:00 AM,SERC,SOUTH,DOM,DOM,9745.000,True
1/1/2011 8:00:00 AM,1/1/2011 3:00:00 AM,SERC,SOUTH,DOM,DOM,9646.000,True
1/1/2011 9:00:00 AM,1/1/2011 4:00:00 AM,SERC,SOUTH,DOM,DOM,9711.000,True
1/1/2011 10:00:00 AM,1/1/2011 5:00:00 AM,SERC,SOUTH,DOM,DOM,9894.000,True
1/1/2011 11:00:00 AM,1/1/2011 6:00:00 AM,SERC,SOUTH,DOM,DOM,10262.000,True
1/1/2011 12:00:00 PM,1/1/2011 7:00:00 AM,SERC,SOUTH,DOM,DOM,10453.000,True
1/1/2011 1:00:00 PM,1/1/2011 8:00:00 AM,SERC,SOUTH,DOM,DOM,10556.000,True
1/1/2011 2:00:00 PM,1/1/2011 9:00:00 AM,SERC,SOUTH,DOM,DOM,10512.000,True
1/1/2011 3:00:00 PM,1/1/2011 10:00:00 AM,SERC,SOUTH,DOM,DOM,10445.000,True
1/1/2011 4:00:00 PM,1/1/2011 11:00:00 AM,SERC,SOUTH,DOM,DOM,10324.000,True
1/1/2011 5:00:00 PM,1/1/2011 12:00:00 PM,SERC,SOUTH,DOM,DOM,10110.000,True
1/1/2011 6:00:00 PM,1/1/2011 1:00:00 PM,SERC,SOUTH,DOM,DOM,9834.000,True
1/1/2011 7:00:00 PM,1/1/2011 2:00:00 PM,SERC,SOUTH,DOM,DOM,9609.000,True
1/1/2011 8:00:00 PM,1/1/2011 3:00:00 PM,SERC,SOUTH,DOM,DOM,9547.000,True
1/1/2011 9:00:00 PM,1/1/2011 4:00:00 PM,SERC,SOUTH,DOM,DOM,9795.000,True
